epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,82571.6,1.0877,0.89607,1.08646,0.95245,0.79066,0.87903,0.70801,0.88735,0.70587,0.98695,0.000272224,0.000272224,0.000272224
36,83550.2,1.08664,0.88996,1.08091,0.94952,0.79443,0.88572,0.71463,0.87159,0.69679,0.97606,0.000255731,0.000255731,0.000255731
37,88965.9,1.07686,0.87525,1.07869,0.95394,0.78892,0.8807,0.70958,0.88808,0.69318,0.98362,0.000239238,0.000239238,0.000239238
38,92250.7,1.05225,0.85425,1.06611,0.94093,0.79791,0.884,0.72002,0.86236,0.68385,0.97422,0.000222744,0.000222744,0.000222744
39,93261.4,1.04414,0.84194,1.0626,0.95216,0.78979,0.88476,0.71261,0.88965,0.68989,0.98187,0.000206251,0.000206251,0.000206251
40,94245.1,1.05688,0.84403,1.06865,0.95011,0.79511,0.88703,0.72172,0.85593,0.66152,0.97326,0.000189757,0.000189757,0.000189757
41,95403.9,1.00696,0.79275,1.04337,0.94416,0.79912,0.88269,0.71712,0.86398,0.68147,0.97732,0.000173264,0.000173264,0.000173264
42,96519.2,0.98481,0.76558,1.0391,0.94016,0.80052,0.88602,0.71774,0.85595,0.67832,0.97272,0.000156771,0.000156771,0.000156771
43,97541,0.97942,0.75122,1.03934,0.94577,0.79704,0.88633,0.72129,0.85136,0.67096,0.97286,0.000140277,0.000140277,0.000140277
44,99861.6,0.95873,0.73115,1.02738,0.94881,0.79588,0.8818,0.72057,0.85504,0.67175,0.97695,0.000123784,0.000123784,0.000123784
45,100847,0.95627,0.73168,1.02956,0.95032,0.79861,0.88596,0.72258,0.84594,0.67744,0.97196,0.00010729,0.00010729,0.00010729
46,106963,0.9417,0.71802,1.01623,0.95201,0.79368,0.88569,0.72574,0.85026,0.66691,0.97232,9.0797e-05,9.0797e-05,9.0797e-05
47,107854,0.93766,0.7067,1.0141,0.96084,0.7866,0.88396,0.72146,0.85398,0.67032,0.97141,7.43036e-05,7.43036e-05,7.43036e-05
48,108676,0.94233,0.70716,1.01838,0.9326,0.81044,0.88993,0.7288,0.84164,0.66028,0.96743,5.78102e-05,5.78102e-05,5.78102e-05
49,109487,0.931,0.70019,1.01404,0.9603,0.79008,0.88782,0.72917,0.84126,0.66368,0.97012,4.13168e-05,4.13168e-05,4.13168e-05
50,110301,0.9283,0.69671,1.01115,0.96151,0.78945,0.88582,0.73185,0.83773,0.6624,0.96823,2.48234e-05,2.48234e-05,2.48234e-05
